mu1,mu2,mu3,sigma1,sigma2,sigma3,w1,w2,w3
4.25803843093,6.51895293784,9.57987170877,1.14046763056,2.12057090291,2.71809656678,0.670543361096,0.125385468932,0.204071169973
3.91914121532,7.02438282404,8.56432202373,0.895768461886,1.71604228483,2.36779124149,0.558359341605,0.22597250981,0.215668148584
3.75868456983,5.69226801861,8.89945511482,0.98202876162,1.64647468622,2.75944919581,0.563640128086,0.197084088772,0.239275783142
3.76284076532,7.17217255869,8.18269932078,1.09575491097,2.16212554403,3.21166014722,0.567122999937,0.259914816078,0.172962183985
4.12564244061,4.83483209187,8.85627550371,1.06943657101,1.48804707816,2.04647966035,0.576589326898,0.139361893892,0.28404877921
4.1925670117,6.7849305239,8.29000989723,0.988526578557,2.39119162614,2.45703850221,0.600805530001,0.148499512186,0.250694957813
4.1382723845,7.72785278402,9.96722395274,1.06401615521,1.62548904125,3.42493476332,0.636702013794,0.259678591498,0.103619394708
4.88870259636,4.91780080881,9.26880602733,1.06621724486,2.36256489967,3.07298783522,0.273593137288,0.573349298086,0.153057564626
3.96492592013,7.14073358811,11.7192897419,1.18943727419,1.94503770378,4.21401613646,0.576949382191,0.344714244541,0.078336373268
4.03819421671,6.13992625711,9.19849607945,1.19649941382,1.95612575049,2.69560546257,0.60921446865,0.173860841161,0.216924690189
4.00327308879,5.91167010237,9.3212120443,0.804952633861,1.53400786129,2.48673346958,0.547354147993,0.246221372995,0.206424479012
4.75386293676,4.90922214735,9.65699672577,1.12116297255,2.6104210061,2.04070156314,0.458426299082,0.394262873701,0.147310827217
3.86614705668,5.98398848063,8.00811006702,1.00657668738,2.21669876477,2.40577256801,0.561667997737,0.206060346923,0.232271655341
4.25212752828,6.38594221836,9.18420941608,0.990799386601,1.7915485168,3.23320355497,0.59698194394,0.258618827973,0.144399228087
3.9496240877,5.12624068607,8.66319680726,1.06366835819,1.61049330005,2.58727921522,0.58510534676,0.201609288402,0.213285364838
3.94557028713,7.17023796167,9.84593233426,1.04643743572,1.65688565801,2.71210985921,0.620058403086,0.297113255472,0.0828283414419
