mean1,mean2,mean3,var1,var2,var3,sk1,sk2,sk3,w1,w2,w3,mm_mean,mm_var,mm_skew
3.79578,6.40705,9.49907,0.907958,2.04019,1.92921,0.0,0.0,0.0,0.600264,0.23488,0.164857,5.34934,5.89266,12.74751177
3.95009,6.52428,9.97119,0.76577,0.966867,3.74435,0.0,0.0,0.0,0.587272,0.263664,0.149061,5.52631,5.92942,17.1315919353
3.79829,5.10412,9.65421,1.03006,1.39415,3.78733,0.0,0.0,0.0,0.460927,0.361664,0.1774,5.30937,6.06745,19.251676197
3.56832,6.43062,9.5298,0.653869,1.21487,2.60537,0.0,0.0,0.0,0.55986,0.288085,0.152074,5.29955,5.88018,13.3383302131
3.77362,6.28986,10.4075,0.757555,0.726999,3.05442,0.0,0.0,0.0,0.564533,0.297625,0.137869,5.43723,6.24984,19.2120153617
3.75901,8.04908,11.8421,0.917868,2.42956,3.19188,0.0,0.0,0.0,0.64775,0.271985,0.0802938,5.57497,8.46629,26.4888457649
3.39029,5.60889,9.33759,0.446187,0.819517,4.23254,0.0,0.0,0.0,0.41163,0.414779,0.173691,5.34385,5.62918,16.004815829
4.09405,5.70772,9.61701,0.780058,2.90836,4.07703,0.0,0.0,0.0,0.5363,0.279366,0.18439,5.56346,6.17614,18.230005719
4.02448,7.43861,12.29,0.999968,1.91859,3.91401,0.0,0.0,0.0,0.647864,0.289848,0.0623576,5.52976,6.82189,24.2801941513
4.01612,7.88954,11.833,0.690102,1.38872,0.610677,0.0,0.0,0.0,0.683378,0.237422,0.0792115,5.55499,6.88393,21.1731752953
4.38858,8.26682,17.695,1.00248,1.8573,0.0900001,0.0,0.0,0.0,0.7077,0.27243,0.019937,5.7107,7.09769,38.3608188794
4.08033,7.91195,11.3221,1.13255,0.827769,0.268008,0.0,0.0,0.0,0.668504,0.272363,0.0591662,5.55253,5.93304,11.334033078
3.91264,7.30504,13.1642,0.969509,2.12333,2.47802,0.0,0.0,0.0,0.65636,0.296762,0.0470263,5.35502,6.74481,26.2889233388
4.08415,8.19606,12.8149,0.927574,1.52155,0.261714,0.0,0.0,0.0,0.722859,0.204218,0.0729214,5.56053,7.83205,29.1542366858
3.93588,7.82595,11.4985,0.994272,1.94712,2.61234,0.0,0.0,0.0,0.664074,0.215645,0.120321,5.68485,8.481,26.9202795166
4.13391,7.19169,11.5017,1.38019,4.09877,15.2048,0.0,0.0,0.0,0.588952,0.329146,0.0818815,5.74356,8.33806,37.6182704578
3.95282,6.1021,9.9725,1.07902,3.17873,7.55759,0.0,0.0,0.0,0.502247,0.313401,0.184529,5.73792,7.88367,27.0729253335
3.28488,4.97278,9.62926,0.654419,0.452456,5.31825,0.0,0.0,0.0,0.373933,0.389991,0.236208,5.44217,7.64466,27.4920874513
3.72547,5.60868,10.323,1.14407,1.50332,3.14421,0.0,0.0,0.0,0.451121,0.351721,0.197224,5.68927,7.64172,21.6576406444
3.87451,7.41706,10.6813,1.07139,3.6212,5.32535,0.0,0.0,0.0,0.651076,0.23273,0.116219,5.49015,7.85477,26.3070643228
3.9471,7.68236,11.2268,0.996309,1.38823,3.543,0.0,0.0,0.0,0.673182,0.248959,0.0778836,5.44409,6.65249,19.6895329183
4.03259,6.23632,11.5053,1.17576,1.95464,3.16806,0.0,0.0,0.0,0.593776,0.280481,0.125776,5.59072,7.60329,28.7223925599
3.58224,6.41664,12.3763,1.03703,2.16436,4.08876,0.0,0.0,0.0,0.557449,0.371422,0.0711364,5.2606,7.34132,29.6540352846
4.01839,7.7563,11.2039,0.83752,1.45888,3.25248,0.0,0.0,0.0,0.705444,0.22241,0.0722331,5.36913,6.16391,19.6779250499
3.99337,5.98501,10.8843,0.810201,3.46915,6.45641,0.0,0.0,0.0,0.490481,0.366893,0.142709,5.70782,7.88556,30.6548281112
3.89267,7.09659,10.6483,1.0899,1.73791,1.69986,0.0,0.0,0.0,0.660139,0.227192,0.112707,5.38214,6.56393,17.2667609362
3.91551,6.15414,10.7637,0.500807,1.13984,4.76173,0.0,0.0,0.0,0.541135,0.300936,0.157958,5.67104,7.20085,28.530880205
3.24824,5.22924,9.8237,0.755628,0.601184,4.8438,0.0,0.0,0.0,0.454074,0.30444,0.241518,5.43953,8.53201,28.5871474384
3.90741,7.40323,11.7308,1.06219,1.06402,3.85694,0.0,0.0,0.0,0.674635,0.249934,0.0754581,5.37158,6.80296,23.4090941962
4.12164,8.12638,12.5419,0.955078,1.33558,1.12258,0.0,0.0,0.0,0.658302,0.284216,0.0575303,5.74447,7.07732,20.0649436344
4.16296,7.71628,14.2088,1.19413,2.20035,8.61547,0.0,0.0,0.0,0.696034,0.253265,0.0507802,5.57335,8.1602,44.6390432798
3.99318,7.12848,9.27023,0.814351,1.82748,12.8809,0.0,0.0,0.0,0.574298,0.283113,0.142607,5.63343,6.88603,25.3317767991
4.05583,7.01691,10.8686,0.726814,0.832116,3.03072,0.0,0.0,0.0,0.611855,0.271091,0.117056,5.65603,6.27436,19.0885829658
4.2045,7.03325,11.6772,1.15344,3.81484,3.04215,0.0,0.0,0.0,0.65655,0.232774,0.110842,5.69195,7.82454,28.4148248237
3.88627,6.33045,12.9643,0.44488,1.54582,1.87306,0.0,0.0,0.0,0.524645,0.405723,0.0697061,5.51101,6.52078,30.1574382133
3.98237,8.11455,13.7476,1.04868,2.2217,1.9915,0.0,0.0,0.0,0.676487,0.276246,0.0473708,5.58687,8.07882,30.9610286127
4.2201,7.80737,11.1542,0.843235,1.11647,1.6596,0.0,0.0,0.0,0.679653,0.229874,0.0904307,5.67159,6.17857,16.6814222089
4.18508,8.14638,14.1323,0.986537,1.55834,7.5212,0.0,0.0,0.0,0.668402,0.255472,0.0761323,5.95441,10.0416,53.792489353
4.17585,6.99376,9.25984,1.00423,2.38462,6.84026,0.0,0.0,0.0,0.601893,0.265882,0.132268,5.5977,5.65211,15.5065190263
3.58998,6.26058,10.8348,0.751668,1.65949,4.96528,0.0,0.0,0.0,0.557179,0.331403,0.11152,5.28333,6.87357,25.3902985981
3.98852,7.32355,10.3304,0.705591,2.26819,5.46034,0.0,0.0,0.0,0.637241,0.254458,0.10838,5.52479,6.44873,20.7722458647
4.1091,7.92135,12.4436,1.03988,2.18772,7.48942,0.0,0.0,0.0,0.686745,0.265613,0.0477321,5.51988,6.83948,26.1821132718
