mean1,mean2,mean3,var1,var2,var3,sk1,sk2,sk3,w1,w2,w3,mm_mean,mm_var,mm_skew
4.00728,7.23387,11.2191,1.09535,2.8323,7.24667,0.0,0.0,0.0,0.651634,0.263028,0.0854298,5.47243,7.11399,27.0730070117
4.06056,7.21469,10.3724,1.04158,2.50178,5.51407,0.0,0.0,0.0,0.627447,0.260286,0.112303,5.59052,6.64724,20.2042898409
3.94662,7.18269,10.2201,1.00017,2.56403,6.33925,0.0,0.0,0.0,0.634925,0.258955,0.10613,5.45047,6.59916,20.9148235937
4.03713,7.43804,11.0263,1.07379,2.66971,5.65594,0.0,0.0,0.0,0.646157,0.260136,0.0937697,5.57745,7.13629,23.8234061766
4.05849,7.24524,9.94944,0.925782,2.5428,6.75228,0.0,0.0,0.0,0.614073,0.269863,0.116232,5.60388,6.42801,19.4399385457
4.00968,7.24073,10.314,1.01997,2.59074,6.80887,0.0,0.0,0.0,0.625303,0.247632,0.127092,5.61114,7.21692,24.0041553151
4.01618,6.87161,10.0934,0.992919,2.86297,6.76319,0.0,0.0,0.0,0.60579,0.274517,0.119768,5.5282,6.57393,21.499118766
3.99451,7.22694,11.0577,1.0271,2.59684,5.76214,0.0,0.0,0.0,0.640678,0.263152,0.0962209,5.52496,7.10417,24.9673221251
3.97044,6.73988,10.2863,1.05443,2.58721,4.82843,0.0,0.0,0.0,0.594309,0.263463,0.142324,5.59936,7.04163,21.4084138889
4.02712,6.90106,10.1367,1.0693,3.39361,6.29699,0.0,0.0,0.0,0.599814,0.265711,0.134422,5.6118,7.08975,22.565162269
4.03347,7.08062,10.1962,0.91093,2.15404,4.96617,0.0,0.0,0.0,0.643869,0.241636,0.114523,5.47566,6.18936,19.1370737255
4.08454,7.7986,11.5121,1.11854,2.22655,4.9639,0.0,0.0,0.0,0.692536,0.23194,0.0754893,5.50654,7.00734,24.1507267097
3.90439,6.80937,9.91304,1.01411,3.04491,5.42845,0.0,0.0,0.0,0.594756,0.248621,0.156707,5.56856,7.19857,21.4777532212
4.01684,7.60903,11.2064,0.921726,2.49884,6.91933,0.0,0.0,0.0,0.673336,0.242415,0.0843155,5.49411,7.11478,26.9293370739
3.85739,6.34315,10.0148,1.01869,3.41656,5.46586,0.0,0.0,0.0,0.579459,0.277671,0.142992,5.42855,6.99089,22.3329979876
4.02018,7.22071,11.0748,1.05438,3.227,6.05964,0.0,0.0,0.0,0.646242,0.263694,0.0901438,5.5004,7.07607,25.3623459673
3.96186,7.04486,11.6004,0.914728,2.41361,6.06854,0.0,0.0,0.0,0.644683,0.271423,0.0840283,5.44104,7.05132,28.626083166
4.0259,7.16328,10.4897,1.11234,2.69622,5.52502,0.0,0.0,0.0,0.634481,0.243444,0.122149,5.57951,7.12407,22.818554084
3.99028,6.63897,10.4829,1.08365,2.80615,3.92446,0.0,0.0,0.0,0.617286,0.258831,0.123915,5.48051,6.70062,20.7031278138
3.98085,7.2785,10.7971,1.01344,2.51391,4.62874,0.0,0.0,0.0,0.65333,0.243688,0.102961,5.48616,6.91865,22.4951640526
4.08527,7.36544,11.6011,1.06668,2.4216,6.61355,0.0,0.0,0.0,0.669123,0.253238,0.0777012,5.50017,6.95358,27.1998798042
3.97413,7.25033,10.4655,1.0039,2.13265,5.3523,0.0,0.0,0.0,0.638621,0.272765,0.0887601,5.44452,6.20578,18.2906305693
