mu1,mu2,mu3,sigma1,sigma2,sigma3,w1,w2,w3
4.04291,5.9675,10.4817,1.0023,1.72769,2.24112,0.553791,0.28121,0.165098
3.88562,7.04664,9.64732,0.851392,1.39923,1.93071,0.574748,0.268954,0.156383
3.68826,6.50632,10.7872,0.93303,1.53266,2.02245,0.598601,0.278872,0.122611
3.85759,8.1258,10.6459,1.13672,1.3112,3.11368,0.674782,0.242859,0.08238
4.00348,6.3292,9.99763,0.997092,1.46585,1.4494,0.59793,0.222053,0.180107
3.80577,5.68902,9.19229,0.746377,0.727629,1.76226,0.521562,0.241129,0.237444
4.19043,8.24061,13.7739,1.07667,1.45847,1.99351,0.681805,0.282358,0.0359184
3.84296,6.05354,9.719,0.983804,1.68254,2.55022,0.538932,0.26255,0.198566
3.97506,7.67772,14.0486,1.16532,1.66996,3.2664,0.63656,0.314233,0.0491855
3.80577,6.13216,10.4224,1.03503,1.67205,2.08143,0.542915,0.303986,0.153129
4.05555,6.97128,11.2436,0.839958,1.23165,1.35355,0.65243,0.243818,0.103923
3.69105,5.03314,9.36145,0.791733,0.806872,2.0826,0.448429,0.315618,0.235987
3.81883,6.99345,10.298,0.994929,1.18119,1.42595,0.639852,0.254218,0.106004
4.25149,7.29156,12.485,0.988767,1.40679,1.84421,0.669489,0.272815,0.0577688
3.61732,5.3766,9.78246,0.890949,1.32415,2.06844,0.488945,0.363334,0.147846
3.96512,7.51102,11.5188,1.0252,1.20109,1.78842,0.659946,0.286457,0.0536357
4.11604,7.75132,14.1976,1.0416,1.21372,2.00397,0.695497,0.253185,0.0514012
4.02045,7.55303,13.0599,1.20049,1.43078,3.01982,0.636359,0.278206,0.0855186
4.14638,7.55651,12.4881,0.938888,1.69321,2.42878,0.657444,0.243847,0.098836
4.03208,6.12476,9.92,0.843695,1.43921,1.61528,0.571754,0.274635,0.153639
3.93539,5.54595,9.12233,1.21835,1.49843,2.26146,0.472074,0.365581,0.162561
4.13818,8.18306,12.5627,1.08115,1.56004,3.55072,0.678029,0.257887,0.0640939
3.92719,7.95645,12.1446,0.988823,1.1951,0.276602,0.663017,0.292268,0.0448231
4.1514,7.13938,10.9346,0.973038,1.50984,2.19559,0.650874,0.214543,0.134676
4.3241,7.22282,11.9503,1.09286,1.78651,1.97997,0.715016,0.182616,0.102415
3.68645,5.8099,8.59077,0.991398,1.19243,1.42103,0.491331,0.314319,0.194374
3.98819,6.87913,11.9832,0.885798,1.29375,2.24697,0.654238,0.226503,0.119284
4.12627,6.89774,10.4529,0.849082,1.13641,1.68,0.607959,0.283827,0.108218
4.10851,8.04701,14.6248,1.06727,1.24711,1.21835,0.706996,0.262853,0.0301177
3.98044,7.70729,14.4441,1.1345,1.64774,1.0519,0.627778,0.332428,0.0397033
4.03473,6.54833,12.9552,1.24248,1.84152,1.4233,0.61702,0.326063,0.056923
3.59002,5.92499,9.18347,0.643089,0.959184,1.35381,0.582709,0.246401,0.170914
3.71268,5.57477,9.92703,0.738499,0.868337,1.98557,0.502756,0.310877,0.186377
3.80895,7.94419,11.2749,0.984124,1.81758,3.43173,0.644255,0.251635,0.104197
3.87512,6.36064,10.8494,0.870838,1.36367,2.15693,0.557205,0.287158,0.155707
3.93703,7.55591,11.3516,1.08474,1.43757,2.03462,0.648216,0.212068,0.139752
3.60127,6.14156,10.024,0.862387,1.46009,2.24687,0.507216,0.350314,0.14255
4.34887,8.61106,12.3534,1.08916,1.33515,2.59941,0.749095,0.205521,0.0454505
3.9763,6.31109,11.1637,1.10142,1.76822,2.93961,0.510064,0.375898,0.114154
4.10055,7.36165,11.7337,1.09585,1.35904,1.32369,0.64069,0.284611,0.0747632
4.03508,7.70072,13.9619,0.944833,1.24207,1.04751,0.681713,0.28834,0.0299816
3.88986,8.19287,12.8635,1.06991,1.60472,1.46835,0.709099,0.227834,0.0630471
3.79578,6.40705,9.49907,0.952868,1.42835,1.38896,0.600264,0.23488,0.164857
3.95009,6.52428,9.97119,0.875083,0.983294,1.93503,0.587272,0.263664,0.149061
3.79829,5.10412,9.65421,1.01492,1.18074,1.94611,0.460927,0.361664,0.1774
3.56832,6.43062,9.5298,0.808622,1.10221,1.61412,0.55986,0.288085,0.152074
3.77362,6.28986,10.4075,0.870377,0.852643,1.74769,0.564533,0.297625,0.137869
3.75901,8.04908,11.8421,0.958054,1.55871,1.78658,0.64775,0.271985,0.0802938
3.39029,5.60889,9.33759,0.667972,0.905272,2.05731,0.41163,0.414779,0.173691
4.09405,5.70772,9.61701,0.883209,1.70539,2.01917,0.5363,0.279366,0.18439
4.02448,7.43861,12.29,0.999984,1.38513,1.97839,0.647864,0.289848,0.0623576
4.01612,7.88954,11.833,0.830724,1.17844,0.781458,0.683378,0.237422,0.0792115
4.38858,8.26682,17.695,1.00124,1.36283,0.3,0.7077,0.27243,0.019937
4.08033,7.91195,11.3221,1.06421,0.909818,0.517695,0.668504,0.272363,0.0591662
3.91264,7.30504,13.1642,0.984637,1.45717,1.57417,0.65636,0.296762,0.0470263
4.08415,8.19606,12.8149,0.963107,1.23351,0.51158,0.722859,0.204218,0.0729214
3.93588,7.82595,11.4985,0.997132,1.39539,1.61627,0.664074,0.215645,0.120321
4.13391,7.19169,11.5017,1.17481,2.02454,3.89934,0.588952,0.329146,0.0818815
3.95282,6.1021,9.9725,1.03876,1.7829,2.74911,0.502247,0.313401,0.184529
3.28488,4.97278,9.62926,0.808962,0.672648,2.30613,0.373933,0.389991,0.236208
3.72547,5.60868,10.323,1.06961,1.2261,1.77319,0.451121,0.351721,0.197224
3.87451,7.41706,10.6813,1.03508,1.90295,2.30767,0.651076,0.23273,0.116219
3.9471,7.68236,11.2268,0.998153,1.17823,1.88229,0.673182,0.248959,0.0778836
4.03259,6.23632,11.5053,1.08433,1.39809,1.77991,0.593776,0.280481,0.125776
3.58224,6.41664,12.3763,1.01834,1.47118,2.02207,0.557449,0.371422,0.0711364
4.01839,7.7563,11.2039,0.915161,1.20784,1.80346,0.705444,0.22241,0.0722331
3.99337,5.98501,10.8843,0.900112,1.86257,2.54095,0.490481,0.366893,0.142709
