mu1,mu2,sigma1,sigma2,w1,w2
4.16357,2.15703,1.15407,0.224214,0.726957,0.273058
4.24666,2.15419,1.1693,0.24973,0.752274,0.247906
4.15359,2.12178,1.17771,0.254103,0.731617,0.268538
1.45525,8.35967,0.305517,2.96646,0.738289,0.261757
4.31516,2.16913,1.16266,0.251299,0.759111,0.24096
1.46971,8.66204,0.334244,3.15197,0.748302,0.251786
4.09252,2.14128,1.1062,0.253178,0.723669,0.276414
1.46021,8.68241,0.322762,2.97628,0.759637,0.240389
1.46474,8.79329,0.316692,2.80479,0.752813,0.24729
1.45469,8.57345,0.341447,2.85458,0.749278,0.250827
4.25474,2.15438,1.17358,0.250399,0.745894,0.254136
1.43965,8.67949,0.322703,2.78865,0.750782,0.249294
4.20199,2.12635,1.11705,0.255497,0.728555,0.271403
4.25655,2.17084,1.23525,0.254342,0.76259,0.237329
4.24824,2.16033,1.07958,0.232991,0.742478,0.257514
4.2187,2.13728,1.13513,0.260193,0.717626,0.282292
4.15058,2.13614,1.07866,0.231296,0.741437,0.258643
1.44142,8.55015,0.351069,2.95985,0.749071,0.250939
4.15134,2.12723,1.13143,0.236812,0.733969,0.266077
4.1387,2.15807,1.11921,0.23382,0.730209,0.269715
4.22759,2.15185,1.06031,0.244265,0.725516,0.274494
4.09624,2.15191,1.10294,0.257766,0.71813,0.281911
1.42946,8.79785,0.312283,2.80881,0.748731,0.25129
4.12129,2.1253,1.01948,0.249267,0.708686,0.291425
4.04756,2.12568,1.11215,0.248907,0.73442,0.265628
1.45843,8.52172,0.321626,2.8794,0.766035,0.233983
4.23707,2.14363,1.2048,0.266755,0.752077,0.247938
4.18948,2.1224,1.06161,0.257576,0.723088,0.276901
4.1669,2.14808,1.11233,0.242292,0.723468,0.276607
4.16271,2.14191,1.06325,0.243177,0.725845,0.274196
1.45102,8.86372,0.296984,2.79322,0.75409,0.246037
4.11902,2.13685,1.06785,0.244754,0.741483,0.258635
4.16806,2.17413,1.1046,0.235287,0.732987,0.267086
1.45151,8.386,0.321747,2.58842,0.732123,0.267945
1.45341,8.47341,0.32778,3.07901,0.738739,0.261178
1.46393,8.53509,0.308627,2.75428,0.738972,0.261125
4.08382,2.10956,1.07052,0.251531,0.727145,0.272864
1.46826,8.52176,0.341701,2.86451,0.737889,0.262123
4.18072,2.12727,1.11619,0.260469,0.730852,0.269217
4.166,2.15134,1.11928,0.249463,0.74345,0.25643
4.12751,2.09525,1.05125,0.242778,0.717761,0.282246
4.16745,2.12333,1.05944,0.244196,0.713329,0.286714
1.44962,8.54707,0.33273,2.84285,0.75048,0.249554
4.31829,2.1826,1.22084,0.236068,0.766612,0.233499
1.45483,8.18075,0.321013,2.88375,0.723525,0.27656
4.1685,2.13442,1.12309,0.222558,0.725225,0.274818
4.21943,2.11937,1.1371,0.26186,0.728397,0.271645
4.09549,2.14799,1.09566,0.252009,0.723894,0.276162
4.16994,2.14255,1.13721,0.236161,0.727862,0.272211
4.19698,2.11934,1.13602,0.239037,0.723934,0.276028
1.45867,8.40533,0.336961,2.78305,0.7532,0.246912
4.13291,2.16231,1.11789,0.255303,0.738262,0.261718
1.44813,8.45939,0.337408,2.87818,0.748348,0.251668
4.15367,2.14439,1.09608,0.244776,0.730706,0.269409
1.45573,8.68619,0.333366,2.57244,0.75177,0.248319
1.46215,8.58498,0.3348,2.77944,0.760612,0.239455
4.08079,2.1318,1.09338,0.231857,0.70253,0.297517
4.18665,2.1006,1.08665,0.255834,0.7162,0.283803
4.13548,2.10916,1.1176,0.253379,0.721025,0.279036
4.19189,2.17809,1.11385,0.24247,0.739209,0.260817
1.46686,8.69546,0.324738,3.03298,0.7758,0.224288
1.46388,8.67929,0.336429,2.99074,0.748227,0.251831
4.10331,2.11736,0.983256,0.249167,0.704966,0.29513
1.47857,8.78596,0.323117,3.34122,0.766265,0.233779
4.13661,2.13628,1.09385,0.242841,0.715893,0.284074
4.24541,2.12907,1.15367,0.237142,0.742476,0.257615
4.21503,2.17913,1.07569,0.242979,0.730659,0.269408
1.44547,8.61998,0.302254,2.83374,0.751301,0.24866
4.1881,2.12213,1.09952,0.253949,0.731038,0.26895
1.42771,8.77586,0.304154,2.85247,0.73454,0.265435
4.09378,2.1226,1.07794,0.240308,0.727146,0.27291
4.17018,2.12471,1.10192,0.23347,0.717275,0.282942
4.09833,2.12427,1.06044,0.219261,0.721995,0.278037
4.15004,2.14047,1.10997,0.245766,0.730728,0.269386
4.16063,2.14651,1.07813,0.248234,0.739184,0.260799
4.15367,2.10873,1.05531,0.264963,0.71916,0.280918
1.44564,8.32371,0.328397,2.7649,0.732304,0.267771
4.16935,2.10434,1.07727,0.238906,0.694137,0.305898
1.45634,9.11303,0.322368,2.87231,0.767634,0.232259
4.21082,2.14122,1.15075,0.249151,0.728329,0.271722
4.23593,2.16079,1.14021,0.252707,0.74852,0.251572
1.42237,8.54211,0.311364,2.63218,0.739194,0.260907
4.05785,2.14454,1.08169,0.23922,0.729802,0.270303
4.20272,2.15884,1.08513,0.256065,0.735986,0.264065
4.10249,2.13058,1.05545,0.235181,0.714768,0.285314
1.46353,8.96087,0.337186,3.07932,0.777801,0.222261
4.16514,2.12688,1.1582,0.251502,0.73621,0.263767
4.18915,2.11405,1.10676,0.245207,0.724383,0.275643
1.45685,8.82186,0.324409,3.00316,0.752576,0.247477
4.20715,2.14075,1.07889,0.2438,0.73334,0.266729
4.11369,2.13972,1.06489,0.249578,0.712663,0.287386
1.46566,9.11082,0.33551,3.11521,0.791717,0.208402
4.20266,2.14626,1.13261,0.25129,0.724847,0.275212
4.07584,2.12318,1.12662,0.245632,0.713332,0.286601
4.12175,2.11242,1.10712,0.244827,0.720069,0.279929
4.19438,2.12046,1.12845,0.242984,0.738494,0.261493
4.08161,2.12267,1.09876,0.254111,0.719853,0.280167
1.45888,8.7527,0.333141,2.95772,0.775151,0.224868
4.2439,2.15766,1.13395,0.253218,0.72906,0.270951
4.15906,2.1246,1.06153,0.24045,0.728936,0.271142
4.25097,2.13924,1.04538,0.246777,0.740743,0.259333
4.12341,2.12999,1.14213,0.259071,0.722684,0.277315
4.15298,2.15811,1.13288,0.259287,0.739244,0.260858
4.11952,2.13651,1.05575,0.259925,0.724016,0.276062
4.16512,2.13159,1.10734,0.257562,0.731062,0.269008
4.03313,2.13444,1.03755,0.250242,0.701967,0.298018
4.09854,2.11704,1.07989,0.263291,0.701137,0.298919
4.34405,2.18518,1.15005,0.242557,0.766003,0.234003
4.1467,2.14045,1.12165,0.244379,0.745062,0.255055
4.06391,2.12143,1.08658,0.265333,0.74026,0.259648
1.44394,8.85761,0.325471,2.99773,0.759391,0.240647
4.085,2.10372,0.99142,0.244359,0.716546,0.283535
4.11329,2.12157,1.08156,0.246552,0.714492,0.285581
1.44032,8.58774,0.309434,2.62201,0.74873,0.251314
4.13691,2.13687,1.07964,0.251024,0.733004,0.266983
4.15206,2.13041,1.08318,0.243375,0.713412,0.286654
4.12737,2.11331,1.07077,0.25298,0.702381,0.297647
4.21009,2.15816,1.11462,0.244814,0.746172,0.253832
1.45062,8.75394,0.355043,2.79924,0.763455,0.236573
4.11944,2.14105,1.0875,0.252651,0.741533,0.25852
4.18886,2.14837,1.15353,0.258489,0.73076,0.269313
4.1597,2.12921,1.06646,0.24454,0.722813,0.277201
4.17248,2.1501,1.17864,0.233726,0.736525,0.263526
1.46985,8.87423,0.331663,2.8966,0.7822,0.217915
4.27971,2.13686,1.17625,0.252467,0.742903,0.257169
1.45585,8.65156,0.332424,2.81007,0.765537,0.234585
1.45387,8.79278,0.330607,3.09295,0.761802,0.238293
4.19789,2.12539,1.05728,0.255089,0.735456,0.264533
4.17118,2.10598,1.13265,0.259599,0.721218,0.278787
1.4624,8.50399,0.3346,3.08315,0.731148,0.26894
1.44761,8.47476,0.320449,2.84637,0.734499,0.265585
4.13735,2.14375,1.09883,0.247048,0.722809,0.277188
1.41745,8.4092,0.322156,2.60958,0.746618,0.253447
1.45895,9.02612,0.334376,3.07091,0.769768,0.230259
4.17105,2.11957,1.0998,0.245822,0.734944,0.265113
1.46578,8.71563,0.302481,2.90594,0.764789,0.235321
4.17258,2.15367,1.08382,0.234389,0.740169,0.259778
1.4556,8.52998,0.319755,3.05383,0.734296,0.265775
1.47481,8.7837,0.345831,2.98109,0.775134,0.224901
1.42296,8.60842,0.331276,2.72763,0.745494,0.254567
4.26558,2.18236,1.28861,0.266338,0.760284,0.239789
