mu1,mu2,sigma1,sigma2,w1,w2
4.31337,2.22563,1.16372,0.241297,0.754941,0.245154
3.99405,2.09547,0.925793,0.219923,0.655795,0.344226
4.04057,2.17084,1.2002,0.252476,0.765462,0.234529
3.83933,2.1288,1.12681,0.225502,0.681626,0.318409
4.21158,2.18302,1.11048,0.200577,0.725427,0.274662
4.31258,2.1821,1.09098,0.19505,0.744355,0.25558
4.15414,2.12564,1.06022,0.254197,0.678275,0.321816
4.23404,2.19968,1.2322,0.230769,0.753343,0.246742
4.07557,2.11425,1.25761,0.303746,0.688416,0.311687
4.16962,2.18461,1.25903,0.245651,0.740913,0.25913
4.24213,2.14996,1.00185,0.248709,0.757216,0.242775
4.24341,2.22605,1.03443,0.202986,0.760904,0.239075
1.412,8.03934,0.324342,2.70322,0.733671,0.266402
1.50508,8.96324,0.298685,2.8842,0.799338,0.200759
4.11372,2.15523,1.15601,0.241806,0.788107,0.211939
3.98319,2.07491,1.04589,0.229971,0.695106,0.304852
4.08562,2.09212,1.0472,0.308158,0.700792,0.29929
4.15322,2.15359,1.32381,0.321573,0.696263,0.303745
4.23509,2.21123,1.0019,0.284882,0.736344,0.263729
4.28069,2.1489,0.998987,0.216717,0.7488,0.251197
1.50596,8.01327,0.338662,3.08584,0.762925,0.237131
4.14849,2.16275,1.09449,0.271793,0.716022,0.283867
3.91417,2.10962,0.979528,0.208101,0.680394,0.319709
1.48598,9.4081,0.313344,2.82134,0.774234,0.22584
4.47627,2.29257,1.19204,0.241542,0.809416,0.190671
4.12491,2.0448,1.20577,0.196342,0.687343,0.312624
4.34549,2.2764,1.20225,0.273119,0.803237,0.196789
4.19387,2.05182,0.907106,0.247718,0.668873,0.331145
4.07255,2.10295,1.05808,0.265917,0.719892,0.280165
4.09914,2.12739,1.22652,0.278289,0.697636,0.302376
4.42207,2.23033,1.44624,0.269619,0.833265,0.166686
3.71455,2.00915,0.752298,0.24317,0.681442,0.318627
4.3484,2.23845,1.12122,0.21085,0.774347,0.225731
