mu1,mu2,mu3,sigma1,sigma2,sigma3,w1,w2,w3
3.96237742897,6.8999746345,10.4920327067,1.0154614352,1.89074443042,3.02004649288,0.607544402971,0.296803338908,0.0956522581208
4.13298509465,7.64904344985,11.0161029888,1.05981257448,1.43792482916,2.13742947753,0.676078814784,0.24350375199,0.0804174332259
3.9170231338,7.06680958541,9.39059020883,0.979006746545,1.91031071527,2.96509061061,0.599086673153,0.296558467105,0.104354859742
4.08680614222,7.77733738161,11.7350494774,1.0635553837,1.54150984493,2.10236226425,0.679320932305,0.252652178897,0.0680268887978
4.04733979852,7.38800799679,10.1508802889,0.949813716683,1.98575458436,3.3491107699,0.591779871073,0.360103464518,0.048116664408
4.00326054343,7.21325155782,8.94375946977,0.990780834997,1.82559535103,3.10428348109,0.602047520529,0.233276160258,0.164676319214
4.06535660997,7.24056105922,8.79981705656,0.99694092393,1.65258136643,3.20514257573,0.630176374017,0.225156189873,0.14466743611
4.02506936992,7.50448352586,11.9756235953,1.03133560637,1.62344619495,2.0221391866,0.661689991846,0.272717259088,0.0655927490659
3.98810265021,6.76240143324,9.97071571194,1.0361283898,1.7052673038,2.37260307493,0.599571026656,0.253197955646,0.147231017698
4.1041353086,7.74455507737,9.82118675178,1.07724004822,1.94622136001,3.15597501026,0.653474772384,0.264303038429,0.0822221891873
4.0125112317,6.891541001,9.0949856474,0.936805751994,1.60249550088,2.66282001104,0.618938322599,0.222432480297,0.158629197104
4.10583340317,7.82508166608,10.8928188566,1.06974891501,1.35921870415,2.4377632836,0.70472530493,0.200152850535,0.095121844535
3.94424724902,7.26538920747,8.70509254092,1.00772927787,2.02803067821,2.95305401826,0.604504002228,0.225045209277,0.170450788494
3.99439883554,7.4752313476,10.5449027829,0.945283987835,1.70466431143,2.92585873147,0.655852651297,0.249528898397,0.0946184503065
3.92618826704,6.84919151002,8.74616872771,1.0150478961,2.28012559626,3.03336711829,0.596634782731,0.254545314666,0.148819902603
4.05073081204,7.52815973145,11.8215392766,1.04558174436,1.8259806058,2.24716412454,0.668701461067,0.27014687392,0.0611516650127
3.85107093354,6.26096120573,10.1450861067,0.86388106311,1.76171702643,3.018984786,0.536799000411,0.333433858642,0.129767140947
4.04511883432,7.28983647151,10.0154120471,1.06586739426,1.71352848554,2.61310426241,0.64579743911,0.228388203622,0.125814357268
4.04661259383,6.79148965525,9.46391850678,1.06155435173,1.12421140004,2.29624894745,0.670340722995,0.134841230366,0.194818046639
4.00056963974,7.34834190299,10.4763288905,1.01756430261,1.50429579767,2.26981785314,0.668792762479,0.217903899459,0.113303338062
4.06866517149,7.22585845337,10.6992686952,1.02266429816,1.54427761574,2.90669232393,0.657828213448,0.241251613478,0.100920173074
4.00373904316,7.3155972828,9.33930376705,1.01447745792,1.27704728014,2.62841775778,0.654363129523,0.210520119327,0.13511675115
4.11807814003,7.30457230442,11.8673707584,1.08569069395,1.84318338119,2.47420982114,0.652325432425,0.284852505155,0.0628220624201
3.92472573715,7.01864998016,9.82301248891,0.949557703587,1.74033051617,2.75320789942,0.617515163777,0.2739978077,0.108487028523
4.16411023531,8.29469627978,11.7246747686,1.09652506066,1.3375835711,2.52324590265,0.7230426198,0.20838103901,0.0685763411898
4.12286511443,7.97414126125,11.6133704196,1.12238113481,1.42351702036,2.65527657051,0.692212527282,0.23180524638,0.0759822263377
3.96763404012,7.08113411821,10.1307583174,0.972746791512,1.92263969871,3.06376749876,0.599346288017,0.301987884106,0.0986658278769
4.06842504232,7.19967341815,10.6122266586,1.06451427286,1.90496997889,3.01881828827,0.650962267585,0.247440951201,0.101596781214
3.98498207241,7.55559950393,10.6098936634,0.979140324964,1.93866271439,3.42790097432,0.632996598907,0.297078159753,0.0699252413395
4.02674161728,7.09964737681,10.1440333136,1.02333942685,1.96284555302,2.77046180331,0.624900597366,0.254336537607,0.120762865026
3.8736022516,6.75966616755,10.1607171509,0.935026001302,1.81638846233,2.95623139181,0.558800348105,0.315149952717,0.126049699178
4.03308763939,7.38079251116,10.0147089575,1.03885763339,1.72026209689,2.72768074401,0.650624529727,0.241458304905,0.107917165367
4.08992677376,7.31215737323,10.4214797737,1.04811952625,1.3030824727,1.91758629412,0.665352535259,0.210651270182,0.123996194559
3.99526927936,7.05494747893,10.1817508959,1.00359958527,1.58252179012,2.39427081272,0.630558701379,0.249703507883,0.119737790739
3.93226017778,6.56234646838,9.54099127701,0.985003023478,1.72499872944,2.70325058225,0.587052368924,0.268840163899,0.144107467177
3.94993644466,7.25066886919,10.6066159707,1.03498919857,1.79188161365,2.85913173663,0.627111081118,0.293356667042,0.0795322518397
3.93361625485,7.05894929078,9.76159145524,1.0032707592,1.75243953274,3.03429467431,0.604420508792,0.277866907157,0.11771258405
3.98363075866,7.0118328593,9.87754885304,1.01697939461,1.66489153434,2.29376697578,0.610493364424,0.266229793053,0.123276842523
4.03309646984,7.13000763267,10.7666228161,0.990032054635,1.66647212005,2.37347800661,0.611569910149,0.303679564053,0.0847505257986
3.96113580158,7.05246231136,9.17259009223,1.0381923138,1.89509023456,2.63780919905,0.607668650953,0.250092078747,0.142239270301
4.05204083812,7.52181931294,11.9057548423,1.02353463845,1.43779298575,2.33912869979,0.651556382412,0.273241953312,0.0752016642765
3.99937129684,7.20464678871,10.3763215929,1.02820905117,1.845848335,2.67935661914,0.634044162114,0.275419429647,0.0905364082386
3.97369061565,6.79639316828,9.57120286275,0.942965666041,1.92012544346,2.72533356538,0.589167119453,0.260837154874,0.149995725673
